date,symbol,gap_percentage,previous_close,open,high,low,close,volume,dollar_change
2023-08-17 04:00:00+00:00,HSDT,5386.03,0.18,9.82,9.82,7.08,7.87,282926,9.64
2024-05-23 04:00:00+00:00,JAGX,5380.09,0.13,7.02,7.25,4.91,5.13,1316768,6.89
2024-08-15 04:00:00+00:00,QNTM,5350.5,0.09,4.9,5.26,4.16,4.27,192800,4.81
2024-09-23 04:00:00+00:00,RSLS,5167.86,0.11,5.9,12.13,5.03,7.99,7757601,5.79
2024-04-17 04:00:00+00:00,SBFM,5150.0,0.07,3.57,4.57,3.2,3.8,4711026,3.5
2024-10-17 04:00:00+00:00,SUNE,5126.82,0.1,5.3,7.25,4.68,5.51,3306206,5.2
2024-02-27 05:00:00+00:00,PHUN,5002.27,0.18,8.98,9.98,7.55,8.29,1743318,8.8
2023-08-15 04:00:00+00:00,CRKN,4991.74,0.04,2.22,2.47,1.82,2.18,1117159,2.18
2023-02-24 05:00:00+00:00,WINT,4948.78,0.16,8.28,8.6,6.73,6.9,206318,8.12
2024-02-05 05:00:00+00:00,VLCN,4838.27,0.09,4.4,4.84,2.6,3.22,1330500,4.31
2023-07-13 04:00:00+00:00,LGHL,4752.94,0.1,4.95,4.95,3.9,4.05,2923058,4.85
2024-09-03 04:00:00+00:00,MTNB,4712.43,0.09,4.49,4.49,3.8,4.0,207975,4.4
2024-11-18 05:00:00+00:00,BJDX,4703.63,0.07,3.18,4.07,3.13,3.73,225537,3.11
2023-09-11 04:00:00+00:00,SLE,4666.36,0.09,4.08,7.65,3.01,3.25,47628723,3.99
2024-06-05 04:00:00+00:00,CNSP,4632.35,0.13,6.1,6.99,4.82,5.39,396776,5.97
2024-09-11 04:00:00+00:00,HYZN,4631.98,0.05,2.56,2.67,2.2,2.52,182359,2.51
2023-01-25 05:00:00+00:00,CETX,4475.59,0.12,5.66,6.24,5.12,5.35,191425,5.54
2024-11-05 05:00:00+00:00,VCIG,4445.45,0.06,2.7,3.22,2.7,2.85,520323,2.64
2024-11-05 05:00:00+00:00,QLGN,4410.39,0.1,4.56,5.14,4.26,5.08,278837,4.46
2023-08-18 04:00:00+00:00,ADTX,4405.63,0.4,18.0,26.51,16.31,16.9,3110849,17.6
2023-10-11 04:00:00+00:00,AGRI,4400.0,0.08,3.51,3.55,2.85,3.05,435694,3.43
2024-03-06 05:00:00+00:00,APVO,4374.5,0.13,5.79,6.75,5.35,6.4,161150,5.66
2023-05-30 04:00:00+00:00,BTOG,4364.29,0.07,3.0,3.0,1.8,2.1,395806,2.93
2023-04-25 04:00:00+00:00,YCBD,4308.89,0.11,4.96,6.25,4.5,5.43,183741,4.85
2024-09-24 04:00:00+00:00,ONCO,4293.53,0.07,3.26,4.44,3.1,3.87,1492322,3.19
2024-04-12 04:00:00+00:00,EZGO,4282.87,0.04,1.74,3.8,1.68,2.06,22850956,1.7
2023-12-07 05:00:00+00:00,XHG,4238.3,0.11,4.95,4.95,1.89,1.98,1113232,4.84
2024-09-19 04:00:00+00:00,GDHG,4228.54,0.08,3.61,3.85,2.52,3.08,593696,3.53
2024-09-19 04:00:00+00:00,BNZI,4214.29,0.07,3.02,3.22,2.42,2.88,608498,2.95
2024-10-02 04:00:00+00:00,ADTX,4175.43,0.11,4.75,5.12,2.6,2.7,3850749,4.64
2023-11-22 05:00:00+00:00,BODI,4109.47,0.15,6.31,10.74,6.31,8.3,511048,6.16
2023-04-19 04:00:00+00:00,VERB,3979.9,0.08,3.37,3.45,2.86,3.1,452481,3.29
2023-03-23 04:00:00+00:00,RDHL,3974.34,0.14,5.7,5.7,4.52,4.56,194077,5.56
2024-12-24 05:00:00+00:00,NEUP,3930.03,0.25,10.2,10.5,3.75,6.63,1175397,9.95
2024-09-27 04:00:00+00:00,NLSP,3908.0,0.12,5.01,5.95,4.08,5.2,174424,4.88
2024-08-20 04:00:00+00:00,DNA,3882.91,0.23,9.32,9.32,7.29,7.71,3828865,9.09
